Student_ID,Age,Gender,Education_Level,Stream,Specialization,Attendance_Percentage,CGPA,Semester_Marks_Percent,Internal_Marks,Practical_Marks,Project_Score,Lab_Score,Assignment_Score,Competition_Participation_Count,Olympiad_Participation,Hackathons_Count,Internships_Count,Research_Experience,Volunteer_Activities,Club_Activities,Leadership,Communication,Confidence,Creativity,Problem_Solving,Critical_Thinking,Adaptability,Teamwork,Decision_Making,Time_Management,Curiosity,Analytical_Thinking,Stress_Management,Self_Learning,Persistence,Interests,Skills,Certifications,Recommended_Career
STU100038,19,Female,Undergraduate,BA,Psychology,84.8,9.07,57.5,64.7,62.8,58.6,63.5,70.6,2,No,0,0,No,No,No,9,5,6,7,6,5,3,5,7,5,2,4,6,6,4,Political Science|Poetry|Psychology|Languages|Literature|Sociology|Culture and Heritage,Screenwriting:Intermediate|Qualitative Research:Intermediate|Public Speaking:Intermediate|Academic Writing:Beginner|Policy Analysis:Advanced|Emotional Intelligence:Advanced|Time Management:Beginner|Critical Thinking:Advanced,Certificate in Creative Writing (British Council)|TEFL/TESOL Certification|Certificate in German Language (Goethe-Zertifikat)|Cambridge English Certificate (FCE),Social Worker
STU100039,19,Male,Undergraduate,LLB,Law,78.3,8.4,87.3,88.7,100,67.3,100,83.8,4,No,0,1,No,No,No,8,7,9,7,7,7,6,7,8,7,8,7,7,8,6,Electronics|Debating,Compliance Knowledge:Expert|Legal Drafting:Advanced|Case Analysis:Expert|Legal Documentation:Advanced|Intellectual Property Basics:Advanced|Legal Research:Advanced|Litigation Support:Intermediate|Contract Review:Advanced|Mediation:Intermediate|Court Procedures:Expert|Persuasion:Expert|Adaptability:Intermediate|Stress Management:Advanced|Time Management:Expert|Innovation Mindset:Expert,None,Lawyer/Advocate
STU100040,18,Female,Diploma,Diploma Engineering,Mechanical Engineering,,7.9,76.2,,86.5,83.7,92.2,64,3,No,0,,No,No,Yes,9,5,8,8,5,7,5,6,6,3,7,6,8,7,9,Renewable Energy|Surveying|Industrial Automation|3D Printing|Construction Technology,Piping Design:Advanced|PLC Programming:Advanced|Persuasion:Intermediate|Cultural Sensitivity:Intermediate|Problem Solving:Beginner|Active Listening:Intermediate,None,Electrical Engineer
STU100041,24,Male,Professional Degree,Professional Degree,Cost and Management Accountant (CMA),66.4,7.1,59.9,51,60.3,73.7,53.3,62.9,0,No,0,0,No,Yes,Yes,4,1,4,6,4,3,2,2,5,4,5,6,5,3,4,Taxation|E-commerce|Startups|Accounting,Financial Analysis:Beginner|B2B Sales:Beginner|Inventory Management:Intermediate|Digital Marketing:Beginner|Cost-Benefit Analysis:Beginner|SAP:Beginner|Email Marketing:Beginner|Stress Management:Intermediate|Presentation Skills:Beginner|Problem Solving:Intermediate|Decision Making:Beginner,Chartered Financial Analyst (CFA) Level 1|Facebook Blueprint Certification,Management Consultant
STU100042,21,Male,Undergraduate,MBBS,Medicine,90.6,,81.2,,70.2,100,58.4,90.7,4,No,0,2,Yes,No,Yes,8,7,7,6,7,7,4,8,4,8,8,5,6,5,6,Pharmacology|Nursing Care|Dentistry|Nutrition and Diet|Mental Health|Genetics,Clinical Assessment:Advanced|Nursing Procedures:Advanced|Infection Control:Expert|Medical Coding:Expert|Surgical Assistance:Intermediate|Anatomy Knowledge:Advanced|Patient Care:Intermediate|Blood Bank Procedures:Intermediate|Scientific Writing:Expert|Stress Management:Expert|Time Management:Beginner,Certificate in Clinical Research|Basic Life Support (BLS) Certification|NPTEL - Human Physiology,Veterinarian
STU100043,15,Male,Higher Secondary,Vocational,Healthcare,82.4,7.05,68.8,65.4,58.8,68.7,59.6,75.7,4,Yes,0,,No,No,No,,,,,,,,,,,,,,,,Electronics|Pharmacology|Alternative Medicine|Nutrition and Diet|Animal Care|Biomedical Devices|Genetics,First Aid and CPR:Beginner|Medical Terminology:Intermediate|Emotional Intelligence:Beginner|Presentation Skills:Intermediate|Communication:Expert|Persuasion:Intermediate|Creativity:Advanced,First Aid and CPR Certification (Red Cross)|NPTEL - Human Physiology,Pharmacist
STU100044,21,Female,Postgraduate,MArch,Urban Planning,79.4,,76,86.1,78.5,70.1,81.3,68.8,3,No,0,1,Yes,No,Yes,6,3,10,7,6,6,6,7,7,7,6,6,6,6,7,Fashion|Product Design|Dance|Film Making|Photography,Procreate:Advanced|Adobe Photoshop:Beginner|Calligraphy:Advanced|Colour Theory:Advanced|Textile Printing:Advanced|Stop Motion Animation:Intermediate|Figma:Expert|Creativity:Advanced|Presentation Skills:Intermediate|Stress Management:Advanced,Coursera - Graphic Design Specialization|Autodesk Certified User - 3ds Max,Fashion Designer
STU100045,20,Female,Undergraduate,BTech/BE,Machine Learning,,,85.5,,97.8,96.6,100,91.8,0,No,1,0,No,No,Yes,6,6,6,4,7,7,6,8,8,5,6,6,6,8,7,App Development|Robotics,PowerShell:Advanced|System Design:Intermediate|React:Expert|Spring Boot:Intermediate|C++:Advanced|CSS:Advanced|Cultural Sensitivity:Expert|Leadership:Intermediate|Networking (Professional):Beginner|Problem Solving:Advanced,CompTIA Network+|Udemy - Complete Web Development Bootcamp,QA/Test Engineer
STU100046,21,Female,Diploma,Diploma Engineering,Electrical Engineering,78.4,8.91,84.4,100,86.7,83.3,76.1,78.8,2,No,0,,No,No,Yes,7,6,7,8,6,6,6,5,6,6,8,7,7,8,7,Power Systems|Renewable Energy,Construction Management:Advanced|Vehicle Diagnostics:Advanced|STAAD Pro:Advanced|Machining:Advanced|Non-Destructive Testing:Beginner|PCB Design:Advanced|Leadership:Expert|Teamwork:Advanced,Autodesk Certified Professional - Inventor,Electrical Engineer
STU100047,16,Male,ITI,ITI,Computer Operator and Programming Assistant,96.5,,82.7,78.1,96.6,83.4,94.8,77.7,1,No,1,2,No,No,No,4,6,7,6,10,7,7,8,9,6,6,9,8,8,5,Cyber Security|App Development|Game Development|Computer Networking|Blockchain|Machine Learning|Competitive Programming|Software Testing,MySQL:Expert|HTML:Advanced|Vector Databases:Advanced|A/B Testing:Advanced|Terraform:Advanced|Presentation Skills:Intermediate|Communication:Beginner|Self Learning:Advanced|Persuasion:Intermediate,NPTEL - Programming in Python,Front-End Developer
STU100048,25,Female,Postgraduate,MSc,Biotechnology,79.2,4.71,72.8,60.4,,,,74.8,3,No,0,2,No,No,Yes,6,4,2,5,6,3,6,6,2,4,4,5,4,4,7,Oceanography|Geology|Chemistry|Physics|Meteorology|Wildlife|Nanotechnology,Bioinformatics Tools:Intermediate|Laboratory Skills:Intermediate|Delegation:Intermediate|Critical Thinking:Intermediate,Certificate in Bioinformatics (NPTEL),Content Creator/Influencer
STU100049,21,Male,Postgraduate,MTech/ME,Thermal Engineering,78.8,7.4,77.4,74.4,90.9,73.7,93.6,75.5,2,No,3,0,No,No,Yes,5,6,6,7,6,4,5,6,7,5,9,4,5,6,6,Surveying|Construction Technology,Power Electronics:Intermediate|Conflict Resolution:Advanced|Innovation Mindset:Advanced|Emotional Intelligence:Intermediate|Adaptability:Advanced,NPTEL - Machine Design|Siemens Certified NX Associate,Mechanical Engineer
