student_id,career_id,career_name,career_domain,career_subdomain,career_cluster,age,class,stream,ability_match_component,interest_match_component,academic_match_component,learning_match_component,compatibility_score,compatibility_label
STU027507,CAR00293,Social Worker Specialist 293,Hospitality & Tourism,Track 3,Cluster 23,15,11,Commerce,67.25,79.91,91.9,93.2,85.15,1
STU008572,CAR00926,Civil Services Officer Specialist 926,Manufacturing,Track 6,Cluster 26,19,12,Science-PCM,84.01,73.81,60.4,46.8,75.81,1
STU009836,CAR00921,Teacher Specialist 921,Healthcare,Track 1,Cluster 21,11,7,GENERAL,67.04,77.99,83.7,56.6,76.2,1
STU002133,CAR01117,Data Analyst Specialist 1117,Transportation,Track 7,Cluster 7,19,12,Commerce,69.92,67.52,73.1,94.0,68.08,0
STU010615,CAR00174,Electronics Engineer Specialist 174,Marine,Track 4,Cluster 24,15,10,General,72.95,71.47,49.6,59.3,69.98,0
STU025936,CAR00606,Education Consultant Specialist 606,Marine,Track 6,Cluster 6,13,8,General,77.91,72.77,77.3,79.8,78.15,1
STU001755,CAR00036,Energy Analyst,Energy,Track 6,Cluster 6,14,9,General,82.18,63.01,84.3,61.1,68.73,0
STU010233,CAR00326,Network Engineer Specialist 326,Engineering,Track 6,Cluster 26,14,9,General,72.0,77.59,53.0,86.3,65.07,0
STU000394,CAR00870,Software Developer Specialist 870,Environment,Track 10,Cluster 30,17,11,Science-PCB,68.72,75.04,69.7,64.5,68.88,0
STU027640,CAR01057,Geneticist Specialist 1057,Life Sciences,Track 7,Cluster 7,16,12,Commerce,56.52,80.07,64.9,56.9,66.28,0
STU021650,CAR00876,Database Administrator Specialist 876,Marine,Track 6,Cluster 6,16,12,Science-PCM,71.88,64.39,81.0,41.5,64.34,0
STU002682,CAR01194,Mobile App Developer Specialist 1194,Environment,Track 4,Cluster 24,17,12,Commerce,66.8,67.83,61.7,94.6,71.07,1
STU012653,CAR00437,Accountant Specialist 437,Agriculture,Track 7,Cluster 17,11,7,General,69.49,68.2,75.6,80.8,67.67,0
STU005622,CAR01094,Illustrator Specialist 1094,Finance,Track 4,Cluster 14,12,8,General,80.22,68.94,65.2,78.1,74.99,1
STU004662,CAR01075,Marketing Specialist Specialist 1075,Fashion,Track 5,Cluster 25,16,12,Science-PCB,63.14,73.45,78.9,96.3,75.92,1
STU015227,CAR00400,CYBERSECURITY ANALYST SPECIALIST 400,Fashion,Track 10,Cluster 10,14,8,General,69.15,77.36,61.0,96.6,72.22,1
STU019454,CAR00760,Human Resources Specialist Specialist 760,Life Sciences,Track 10,CLUSTER 10,14,8,General,72.44,79.01,82.2,88.9,76.58,1
STU032739,CAR00242,Cybersecurity Analyst Specialist 242,Skilled Trades,Track 2,Cluster 2,17,12,Science-PCB,68.8,63.27,87.2,74.0,69.7,0
STU001291,CAR00477,AI Engineer Specialist 477,Government & Public Service,Track 7,Cluster 27,13,9,General,82.81,79.94,79.5,81.7,82.6,1
STU010432,CAR01054,Medical Laboratory Scientist Specialist 1054,Technology,Track 4,Cluster 4,14,10,General,71.76,64.92,97.3,56.6,84.73,1
STU005874,CAR00714,AI Engineer Specialist 714,Marine,Track 4,Cluster 24,13,7,General,66.15,81.33,66.3,82.6,63.1,0
STU009061,CAR00429,Environmental Scientist Specialist 429,SPORTS,Track 9,Cluster 9,18,12,Science-PCM,72.99,81.48,72.2,74.0,77.66,1
STU013927,CAR00198,Marine Engineer Specialist 198,Energy,Track 8,Cluster 18,14,9,General,66.99,70.61,67.4,71.3,68.68,0
STU014135,CAR01080,Education Consultant Specialist 1080,Research,Track 10,Cluster 30,18,11,Commerce,66.65,74.25,79.5,43.6,68.44,0
STU011575,CAR00677,Investment Analyst Specialist 677,Engineering,Track 7,Cluster 17,15,11,Commerce,75.92,74.71,73.5,68.0,87.28,1
STU027984,CAR00610,Civil Services Officer Specialist 610,Education,Track 10,Cluster 10,19,12,Humanities,76.42,65.37,84.9,84.8,67.16,0
STU009790,CAR00351,Renewable Energy Engineer Specialist 351,Research,Track 1,Cluster 21,18,12,Commerce,72.54,69.34,70.8,51.8,63.8,0
STU023020,CAR00975,Medical Laboratory Scientist Specialist 975,Healthcare,Track 5,Cluster 15,13,8,General,64.62,87.57,66.3,57.0,75.52,1
STU002649,CAR00874,Cybersecurity Analyst Specialist 874,Transportation,Track 4,Cluster 4,18,11,Humanities,89.45,71.26,65.8,80.2,76.55,1
STU003832,CAR00393,Welder Specialist 393,Law,Track 3,Cluster 3,15,10,General,71.24,64.35,59.8,87.2,70.12,1
STU022091,CAR01018,Hotel Manager Specialist 1018,Defence & Security,Track 8,CLUSTER 28,15,10,General,66.09,75.91,74.5,91.8,71.04,1
STU032261,CAR00291,PSYCHOLOGIST SPECIALIST 291,Arts & Design,Track 1,Cluster 21,14,10,General,73.89,79.15,64.3,93.0,73.4,1
STU024713,CAR01080,Education Consultant Specialist 1080,Research,Track 10,Cluster 30,14,9,General,71.81,74.28,75.3,68.6,77.04,1
STU020510,CAR00750,Pilot Specialist 750,Arts & Design,Track 10,Cluster 30,15,9,General,76.69,69.67,90.8,62.7,71.08,1
STU021798,CAR00315,Technician Specialist 315,Government & Public Service,Track 5,Cluster 15,15,11,Humanities,72.09,76.98,67.6,81.8,77.94,1
STU015293,CAR00834,Auditor Specialist 834,Sports,TRACK 4,Cluster 24,15,11,Humanities,67.69,74.77,82.7,54.7,81.7,1
STU003765,CAR00812,Doctor Specialist 812,Engineering,Track 2,Cluster 2,12,7,General,76.88,73.23,95.1,64.8,84.02,1
STU003480,CAR00411,Electronics Engineer Specialist 411,Environment,Track 1,Cluster 21,14,10,General,76.38,76.48,56.3,73.6,75.24,1
STU030298,CAR00861,Travel Consultant Specialist 861,Sports,Track 1,Cluster 21,13,8,General,74.41,67.04,62.0,50.1,67.19,0
STU008678,CAR01178,Sports Coach Specialist 1178,Psychology & Social Services,Track 8,Cluster 8,17,11,Science-PCB,84.4,87.7,41.8,42.5,67.72,0
STU011340,CAR00135,Social Worker Specialist 135,Research,Track 5,Cluster 15,14,8,General,70.21,74.65,36.8,90.8,67.87,0
STU021508,CAR00899,Geneticist Specialist 899,Manufacturing,Track 9,Cluster 29,15,10,General,89.06,74.64,80.6,58.9,78.17,1
STU000453,CAR00520,Economist Specialist 520,Architecture & Construction,Track 10,Cluster 10,16,11,Science-PCM,75.19,80.49,39.4,81.0,68.76,0
STU018610,CAR00692,Journalist Specialist 692,Psychology & Social Services,Track 2,Cluster 2,17,12,Humanities,80.45,74.02,60.1,71.2,73.9,1
STU015757,CAR00715,Machine Learning Engineer Specialist 715,Business,Track 5,Cluster 25,13,8,General,77.16,88.22,77.4,75.6,80.95,1
STU022261,CAR00103,Physiotherapist Specialist 103,Fashion,Track 3,Cluster 13,16,10,General,70.14,78.71,74.2,46.8,73.18,1
STU032104,CAR00160,Data Scientist Specialist 160,Logistics & Supply Chain,Track 10,Cluster 10,15,11,Science-PCM,62.99,77.0,80.7,85.5,75.88,1
STU002777,CAR00097,Biomedical Engineer Specialist 97,Education,Track 7,Cluster 7,14,10,General,69.55,71.08,74.8,79.9,68.01,0
STU032695,CAR00624,Travel Consultant Specialist 624,Healthcare,Track 4,Cluster 24,18,11,Commerce,80.46,79.53,73.0,61.0,80.82,1
STU028914,CAR00994,Economist Specialist 994,Fashion,Track 4,Cluster 4,11,7,Unknown,77.88,76.96,40.9,46.3,69.45,0
STU028675,CAR00604,Legal Advisor Specialist 604,Transportation,Track 4,Cluster 4,14,10,General,81.04,77.17,90.3,87.1,83.1,1
STU024312,CAR01128,Doctor Specialist 1128,Arts & Design,Track 8,Cluster 18,19,12,Humanities,69.98,70.52,70.9,57.5,73.53,1
STU001029,CAR00157,Technician Specialist 157,Fashion,Track 7,Cluster 7,16,11,Humanities,82.02,80.73,70.7,90.7,81.09,1
STU013732,CAR01099,Sports Coach Specialist 1099,Defence & Security,Track 9,Cluster 19,15,9,General,52.12,82.09,88.2,67.6,65.28,0
STU017949,CAR00592,Pilot Specialist 592,Logistics & Supply Chain,Track 2,Cluster 22,12,8,Unknown,71.54,74.66,69.1,47.5,64.3,0
STU022800,CAR00494,Architect Specialist 494,Manufacturing,Track 4,Cluster 14,13,9,General,67.11,65.95,98.9,79.5,74.97,1
STU016978,CAR01198,Civil Engineer Specialist 1198,Transportation,Track 8,Cluster 28,16,11,Humanities,63.54,74.22,84.8,32.7,61.59,0
STU028326,CAR00193,Renewable Energy Engineer Specialist 193,Life Sciences,Track 3,Cluster 13,12,8,General,79.38,64.25,89.4,61.1,71.34,1
STU008367,CAR00494,Architect Specialist 494,Manufacturing,Track 4,Cluster 14,13,7,General,74.42,64.49,51.5,42.8,69.57,0
STU023959,CAR00271,Environmental Scientist Specialist 271,Technology,Track 1,Cluster 1,14,10,General,74.66,68.01,59.7,34.2,71.62,1
STU002650,CAR00672,Marine Engineer Specialist 672,Sports,Track 2,Cluster 12,18,12,Commerce,74.38,69.72,74.0,61.5,75.55,1
STU006189,CAR00362,Economist Specialist 362,Aviation,Track 2,Cluster 2,14,10,General,72.65,68.6,70.6,71.0,68.14,0
STU010914,CAR00180,Doctor Specialist 180,Government & Public Service,Track 10,Cluster 30,15,10,General,63.9,79.24,46.8,61.5,66.27,0
STU030467,CAR00350,Environmental Scientist Specialist 350,Skilled Trades,Track 10,Cluster 20,16,10,General,76.6,69.23,85.4,91.9,75.64,1
STU025328,CAR00218,Journalist Specialist 218,Engineering,Track 8,Cluster 8,15,10,General,78.21,76.03,58.1,92.9,93.08,1
STU012125,CAR00972,Physiotherapist Specialist 972,Research,Track 2,Cluster 12,18,12,Humanities,68.79,73.72,78.0,52.7,62.45,0
STU006202,CAR01029,Data Scientist Specialist 1029,Healthcare,Track 9,Cluster 9,15,10,General,78.53,65.5,78.1,74.6,83.12,1
STU028063,CAR00614,Public Relations Specialist Specialist 614,Media & Communication,Track 4,Cluster 14,11,7,GENERAL,72.88,74.8,84.8,80.9,83.36,1
STU025656,CAR00961,Civil Engineer Specialist 961,Education,Track 1,Cluster 1,15,11,Commerce,71.39,76.53,65.5,57.5,72.73,1
STU027131,CAR00828,Aviation Engineer Specialist 828,Government & Public Service,Track 8,Cluster 18,19,12,Humanities,82.29,73.89,75.2,50.4,73.83,1
STU016656,CAR01095,Animator Specialist 1095,Law,Track 5,Cluster 15,16,11,Humanities,74.1,78.7,94.4,43.3,71.49,1
STU029873,CAR00613,Journalist Specialist 613,Defence & Security,Track 3,Cluster 13,15,10,General,71.44,70.45,54.0,64.5,69.19,0
STU001273,CAR00899,Geneticist Specialist 899,Manufacturing,Track 9,Cluster 29,14,9,General,79.44,70.68,87.4,80.5,73.06,1
STU014269,CAR00843,Education Consultant Specialist 843,Environment,Track 3,CLUSTER 3,15,10,General,73.55,75.45,18.9,78.9,68.11,0
STU007591,CAR00669,Automotive Engineer Specialist 669,Arts & Design,Track 9,Cluster 9,15,9,General,74.82,74.28,67.0,69.7,74.57,1
STU023761,CAR00840,Lawyer Specialist 840,Healthcare,Track 10,Cluster 30,16,10,General,79.29,78.41,83.6,85.3,86.46,1
STU032009,CAR00825,Renewable Energy Engineer Specialist 825,Law,Track 5,Cluster 15,11,7,General,76.29,72.63,76.3,88.5,76.08,1
STU001680,CAR00968,Architect Specialist 968,Hospitality & Tourism,Track 8,Cluster 8,14,10,General,78.82,65.77,69.7,60.1,73.54,1
STU007907,CAR01164,Policy Analyst Specialist 1164,Healthcare,Track 4,Cluster 24,14,10,General,77.56,71.09,70.2,72.4,78.79,1
STU003454,CAR00541,Illustrator Specialist 541,TECHNOLOGY,Track 1,Cluster 1,12,7,General,78.31,81.88,69.6,84.6,82.17,1
STU024922,CAR00129,Lawyer Specialist 129,Arts & Design,Track 9,Cluster 9,13,7,General,75.38,66.33,71.2,44.1,64.77,0
STU010886,CAR00541,Illustrator Specialist 541,Technology,Track 1,Cluster 1,13,8,General,75.78,76.16,87.5,58.7,74.43,1
STU030578,CAR00723,Business Analyst Specialist 723,Arts & Design,Track 3,Cluster 3,14,8,General,70.8,72.99,88.6,73.3,75.22,1
STU007949,CAR01058,Agricultural Scientist Specialist 1058,Agriculture,Track 8,Cluster 8,14,8,General,65.41,75.45,82.1,92.5,68.07,0
STU014413,CAR00325,Mobile App Developer Specialist 325,Technology,Track 5,Cluster 25,11,7,General,74.84,82.77,39.3,83.6,79.88,1
STU020633,CAR00263,Dentist Specialist 263,Media & Communication,Track 3,Cluster 23,15,9,General,70.71,75.1,90.4,90.7,68.94,0
STU008122,CAR01117,Data Analyst Specialist 1117,Transportation,Track 7,Cluster 7,16,10,General,71.88,67.73,81.2,68.0,69.3,0
STU013617,CAR00280,Financial Analyst Specialist 280,TRANSPORTATION,TRACK 10,Cluster 10,13,7,General,73.99,74.34,81.4,68.4,82.78,1
STU028668,CAR00077,Welder,Hospitality & Tourism,Track 7,Cluster 17,16,10,General,73.61,71.09,71.7,87.1,79.72,1
STU031481,CAR00864,Supply Chain Analyst Specialist 864,Research,Track 4,Cluster 24,18,11,Humanities,71.52,64.9,72.2,79.0,74.33,1
STU007947,CAR00056,Social Worker,Engineering,Track 6,Cluster 26,17,12,Science-PCM,54.68,79.35,81.3,64.9,81.4,1
STU017500,CAR00708,Electrician Specialist 708,Environment,Track 8,Cluster 18,14,8,General,81.04,75.69,68.8,45.5,68.5,0
STU014351,CAR00567,Mechanical Engineer Specialist 567,Research,Track 7,Cluster 27,11,7,General,69.68,65.97,80.1,71.3,67.19,0
STU026916,CAR00030,Geneticist,Healthcare,Track 10,Cluster 30,14,9,General,79.06,69.39,88.8,85.2,77.15,1
STU025520,CAR00123,Auditor Specialist 123,Law,Track 3,Cluster 3,13,8,General,75.42,66.42,70.0,66.2,75.33,1
STU031890,CAR00599,Economist Specialist 599,Agriculture,Track 9,Cluster 29,18,12,Science-PCB,88.0,79.01,82.9,88.8,88.02,1
STU028997,CAR00715,Machine Learning Engineer Specialist 715,Business,Track 5,Cluster 25,12,7,General,77.38,73.77,78.5,44.8,69.79,0
STU019197,CAR00534,Journalist Specialist 534,Arts & Design,Track 4,Cluster 24,11,7,General,67.76,77.48,84.8,68.9,76.54,1
STU027045,CAR00008,Web Developer,Manufacturing,Track 8,Cluster 8,18,11,Commerce,76.34,78.99,68.0,61.4,73.55,1
STU021798,CAR00251,Mechanical Engineer Specialist 251,Manufacturing,Track 1,Cluster 11,15,11,Humanities,82.96,68.88,67.6,81.8,72.24,1
STU014897,CAR00234,Electrician Specialist 234,Government & Public Service,Track 4,Cluster 24,11,7,General,73.94,77.63,86.4,29.9,69.16,0
STU014410,CAR00675,Financial Analyst Specialist 675,Research,Track 5,Cluster 15,18,11,Unknown,75.09,79.66,73.1,63.8,78.86,1
STU031581,CAR00198,Marine Engineer Specialist 198,Energy,Track 8,Cluster 18,13,7,General,67.62,64.24,25.7,53.1,61.01,0
STU013586,CAR00091,Business Analyst Specialist 91,Transportation,Track 1,Cluster 1,17,12,Humanities,72.31,72.29,47.5,47.6,65.14,0
STU014246,CAR00532,Policy Analyst Specialist 532,Defence & Security,Track 2,Cluster 22,16,10,General,70.06,70.41,56.1,89.2,72.76,1
STU008552,CAR00094,Electrical Engineer Specialist 94,Business,Track 4,CLUSTER 4,14,10,General,79.16,69.97,62.3,79.3,77.25,1
STU000470,CAR00286,Human Resources Specialist Specialist 286,Education,Track 6,Cluster 16,14,10,General,69.72,66.39,76.4,62.8,73.57,1
STU025483,CAR01142,Energy Analyst Specialist 1142,Manufacturing,Track 2,Cluster 2,11,7,General,69.9,62.07,75.7,73.8,60.05,0
STU015498,CAR00816,DENTIST SPECIALIST 816,Environment,Track 6,Cluster 6,13,8,General,80.09,70.35,75.5,82.0,80.35,1
STU008158,CAR00378,Content Creator Specialist 378,Research,Track 8,Cluster 18,14,8,General,84.82,65.05,81.1,82.5,77.75,1
STU003811,CAR00534,Journalist Specialist 534,Arts & Design,Track 4,Cluster 24,14,10,General,71.07,78.8,80.2,92.1,73.89,1
STU021356,CAR00543,Chef Specialist 543,Healthcare,Track 3,Cluster 3,13,7,General,79.41,74.38,77.6,86.1,74.97,1
STU014085,CAR00372,Social Worker Specialist 372,Arts & Design,Track 2,Cluster 12,18,11,Science-PCM,64.54,78.36,82.5,53.0,72.35,1
STU006916,CAR00915,Economist Specialist 915,Sports,Track 5,Cluster 15,19,12,Science-PCB,82.65,75.07,78.7,76.3,82.93,1
STU016413,CAR00686,Psychologist Specialist 686,Aviation,Track 6,Cluster 26,16,11,Humanities,68.27,67.85,78.0,62.2,72.41,1
STU026258,CAR00152,Sports Scientist Specialist 152,Psychology & Social Services,Track 2,Cluster 2,12,7,General,75.28,72.0,54.0,72.2,72.25,1
STU021623,CAR01197,Business Analyst Specialist 1197,Energy,Track 7,Cluster 27,12,7,General,76.79,76.95,82.0,75.0,79.13,1
STU001572,CAR01192,Database Administrator Specialist 1192,Life Sciences,Track 2,Cluster 22,15,10,General,78.29,73.42,63.1,65.3,74.07,1
STU027312,CAR01082,Counsellor Specialist 1082,Engineering,Track 2,CLUSTER 2,11,7,General,66.55,77.95,74.3,55.8,73.97,1
STU000479,CAR00568,Electrical Engineer Specialist 568,Technology,Track 8,Cluster 28,16,10,General,61.52,68.98,85.5,75.1,69.89,0
STU020746,CAR00291,Psychologist Specialist 291,Arts & Design,Track 1,Cluster 21,16,12,Science-PCM,67.32,81.36,86.9,74.8,77.35,1
STU012211,CAR00521,Entrepreneur Specialist 521,Manufacturing,Track 1,Cluster 11,15,11,Humanities,56.58,78.05,98.5,71.4,71.98,1
STU002955,CAR00774,Graphic Designer Specialist 774,Government & Public Service,Track 4,Cluster 24,16,10,General,78.65,81.28,66.9,73.2,77.14,1
STU020886,CAR00244,DATABASE ADMINISTRATOR SPECIALIST 244,Technology,Track 4,Cluster 4,13,9,General,85.24,76.79,54.2,86.4,91.86,1
STU005146,CAR00925,Social Worker Specialist 925,Architecture & Construction,Track 5,Cluster 25,19,12,Commerce,66.15,71.75,66.5,83.0,75.47,1
STU003471,CAR00067,Illustrator,Business,Track 7,Cluster 7,14,9,General,70.8,74.22,80.1,92.7,72.96,1
STU005574,CAR00784,Sports Scientist Specialist 784,Technology,Track 4,Cluster 4,18,12,Humanities,69.69,76.07,59.3,81.0,73.59,1
STU005225,CAR01086,Defence Officer Specialist 1086,Environment,Track 6,Cluster 6,14,9,General,81.28,74.22,89.1,40.0,79.35,1
STU021279,CAR01086,Defence Officer Specialist 1086,Environment,Track 6,Cluster 6,16,10,General,75.28,64.12,32.4,66.3,67.52,0
STU017575,CAR00371,Counsellor Specialist 371,Media & Communication,Track 1,Cluster 11,15,10,General,69.71,72.59,87.5,78.9,73.17,1
STU022208,CAR01032,Cybersecurity Analyst Specialist 1032,Environment,Track 2,Cluster 12,17,11,Commerce,76.7,76.99,81.0,92.5,83.12,1
STU013717,CAR01081,Psychologist Specialist 1081,Technology,Track 1,Cluster 1,16,10,General,78.72,73.07,48.8,95.3,86.17,1
STU013498,CAR00083,Machine Learning Engineer Specialist 83,Engineering,Track 3,Cluster 23,15,9,General,65.88,68.99,75.6,80.5,78.98,1
STU023890,CAR00984,Energy Analyst Specialist 984,Marine,Track 4,Cluster 24,11,7,General,71.79,74.92,89.5,50.2,67.74,0
STU020330,CAR01065,Aviation Engineer Specialist 1065,Marine,Track 5,CLUSTER 15,15,11,Humanities,66.82,71.78,62.8,75.7,66.79,0
STU006887,CAR00001,Software Developer,Technology,Track 1,Cluster 1,13,9,General,66.24,76.14,61.8,38.7,79.61,1
STU029771,CAR00516,Accountant Specialist 516,Healthcare,Track 6,Cluster 6,17,11,Science-PCB,91.78,66.29,91.5,95.9,85.24,1
STU005557,CAR00750,Pilot Specialist 750,Arts & Design,Track 10,Cluster 30,12,8,General,56.35,72.69,39.3,77.8,69.16,0
STU000512,CAR00807,Chemical Engineer Specialist 807,Sports,Track 7,Cluster 27,19,12,Humanities,76.46,79.06,96.6,73.0,77.31,1
STU007696,CAR00027,Medical Laboratory Scientist,Research,Track 7,Cluster 27,14,10,General,60.28,68.74,81.9,81.2,72.18,1
STU008759,CAR00388,Sports Coach Specialist 388,Transportation,Track 8,Cluster 28,13,9,General,73.44,76.26,59.0,49.6,73.07,1
STU021322,CAR00324,Web Developer Specialist 324,Research,Track 4,Cluster 24,13,9,General,68.2,78.78,78.8,77.5,70.95,1
STU018196,CAR00366,Lawyer Specialist 366,Law,Track 6,Cluster 6,14,9,General,72.44,62.82,73.3,77.1,69.98,0
STU010882,CAR00411,Electronics Engineer Specialist 411,Environment,Track 1,Cluster 21,16,12,Science-PCB,71.14,71.34,57.4,82.3,73.71,1
STU022014,CAR00785,Supply Chain Analyst Specialist 785,ENGINEERING,Track 5,Cluster 5,12,8,General,66.75,80.11,74.9,69.9,73.95,1
STU031123,CAR00258,Urban Planner Specialist 258,Law,Track 8,Cluster 18,13,7,General,71.82,76.3,90.7,52.3,74.97,1
STU022505,CAR01139,Forestry Specialist Specialist 1139,Agriculture,Track 9,Cluster 29,15,9,General,68.71,70.36,81.1,67.6,71.93,1
STU015917,CAR00866,Electrician Specialist 866,Engineering,Track 6,Cluster 26,18,11,Humanities,64.15,67.03,88.6,92.2,77.52,1
STU030608,CAR00893,Physiotherapist Specialist 893,Engineering,Track 3,Cluster 23,15,11,Humanities,62.44,72.13,79.4,87.7,77.74,1
STU021534,CAR01092,Product Designer Specialist 1092,Marine,Track 2,Cluster 12,15,9,General,78.16,72.72,60.7,81.8,73.88,1
STU018051,CAR00325,Mobile App Developer Specialist 325,Technology,Track 5,Cluster 25,16,12,Commerce,62.41,81.73,99.1,79.2,79.09,1
STU003297,CAR00957,Mobile App Developer Specialist 957,Marine,Track 7,Cluster 27,18,11,Humanities,79.14,75.11,88.6,77.7,87.89,1
STU000988,CAR00780,Chef Specialist 780,Sports,Track 10,Cluster 30,13,7,General,62.31,80.5,75.8,75.1,76.94,1
STU025304,CAR00085,Cloud Engineer Specialist 85,Life Sciences,Track 5,Cluster 25,11,7,General,64.22,81.1,86.3,57.7,69.2,0
STU026583,CAR00162,Machine Learning Engineer Specialist 162,Research,Track 2,Cluster 12,12,7,General,77.3,82.34,55.2,51.2,68.88,0
STU004501,CAR00492,Biomedical Engineer Specialist 492,Environment,Track 2,Cluster 12,11,7,General,64.36,73.24,49.3,89.8,70.49,1
STU024621,CAR00651,Environmental Engineer Specialist 651,Healthcare,Track 1,Cluster 21,15,9,General,82.95,78.13,59.1,53.5,81.97,1
STU016790,CAR00349,Forestry Specialist Specialist 349,Logistics & Supply Chain,Track 9,Cluster 19,12,8,General,71.2,76.2,89.2,55.3,76.32,1
STU005437,CAR00223,Product Designer Specialist 223,Architecture & Construction,Track 3,Cluster 13,16,11,Commerce,80.11,67.8,67.6,54.3,78.7,1
STU004078,CAR01148,Accountant Specialist 1148,Finance,Track 8,Cluster 8,14,10,General,80.1,72.78,92.3,68.1,72.33,1
STU016377,CAR00651,Environmental Engineer Specialist 651,Healthcare,Track 1,Cluster 21,13,8,General,77.94,81.12,95.3,89.2,85.99,1
