career_id,career_name,career_domain,career_subdomain,career_cluster,required_mathematical_ability,required_logical_reasoning,required_scientific_thinking,required_problem_solving,required_analytical_thinking,required_communication,required_creativity,required_digital_ability,required_spatial_ability,required_practical_ability,required_learning_ability,required_technology_interest,required_engineering_interest,required_healthcare_interest,required_business_interest,required_finance_interest,required_arts_interest,required_design_interest,required_research_interest,required_environment_interest,required_agriculture_interest,minimum_education_level
CAR00011,Data Analyst,Aviation,Track 1,Cluster 11,86.0,,18.0,37.0,39.0,37.0,67.0,43.0,73.0,38.0,48.0,52.0,61.0,67.0,71.0,75.0,22.0,67.0,49.0,44.0,73.0,Secondary
CAR00012,Business Analyst,Marine,Track 2,Cluster 12,15.0,79.0,81.0,92.0,37.0,69.0,23.0,52.0,52.0,77.0,40.0,22.0,52.0,51.0,58.0,45.0,82.0,70.0,69.0,51.0,39.0,Postgraduate
CAR00013,Civil Engineer,Business,Track 3,Cluster 13,42.0,75.0,15.0,93.0,36.0,30.0,76.0,91.0,62.0,42.0,69.0,20.0,29.0,52.0,70.0,73.0,65.0,83.0,27.0,65.0,35.0,Higher Secondary
CAR00014,Mechanical Engineer,Finance,Track 4,Cluster 14,22.0,16.0,89.0,89.0,34.0,88.0,37.0,41.0,50.0,95.0,95.0,66.0,84.0,16.0,36.0,18.0,58.0,20.0,19.0,77.0,32.0,Undergraduate
CAR00015,Electrical Engineer,Law,Track 5,Cluster 15,22.0,94.0,58.0,43.0,46.0,46.0,64.0,92.0,76.0,88.0,68.0,49.0,53.0,65.0,73.0,72.0,65.0,89.0,24.0,28.0,43.0,Postgraduate
CAR00016,Electronics Engineer,Education,Track 6,Cluster 16,43.0,87.0,72.0,50.0,95.0,26.0,30.0,77.0,78.0,70.0,91.0,19.0,57.0,79.0,44.0,32.0,64.0,17.0,80.0,20.0,49.0,Postgraduate
CAR00017,Chemical Engineer,Psychology & Social Services,Track 7,Cluster 17,21.0,16.0,52.0,54.0,79.0,52.0,91.0,69.0,48.0,79.0,79.0,66.0,20.0,36.0,41.0,27.0,53.0,81.0,17.0,87.0,35.0,Higher Secondary
CAR00018,Biomedical Engineer,Government & Public Service,Track 8,Cluster 18,44.0,79.0,55.0,92.0,15.0,24.0,25.0,84.0,78.0,20.0,32.0,27.0,23.0,73.0,67.0,29.0,82.0,45.0,87.0,52.0,85.0,Secondary
CAR00019,Environmental Engineer,Defence & Security,Track 9,Cluster 19,52.0,84.0,73.0,72.0,40.0,40.0,17.0,44.0,18.0,72.0,72.0,65.0,86.0,62.0,53.0,83.0,51.0,93.0,23.0,26.0,70.0,Diploma
CAR00020,Architect,Media & Communication,Track 10,Cluster 20,85.0,39.0,76.0,43.0,62.0,68.0,70.0,39.0,46.0,30.0,78.0,24.0,17.0,84.0,49.0,26.0,68.0,23.0,43.0,74.0,15.0,Higher Secondary
CAR00021,Urban Planner,Arts & Design,Track 1,Cluster 21,76.0,71.0,69.0,77.0,72.0,42.0,78.0,45.0,24.0,86.0,16.0,80.0,26.0,48.0,32.0,24.0,66.0,67.0,74.0,62.0,20.0,Undergraduate
CAR00022,Doctor,Fashion,Track 2,Cluster 22,73.0,50.0,15.0,74.0,23.0,74.0,36.0,61.0,61.0,75.0,64.0,67.0,45.0,43.0,27.0,24.0,21.0,83.0,87.0,15.0,37.0,Professional Degree
CAR00023,Nurse,Hospitality & Tourism,Track 3,Cluster 23,80.0,93.0,81.0,61.0,22.0,43.0,50.0,30.0,57.0,29.0,26.0,46.0,22.0,23.0,39.0,82.0,54.0,61.0,15.0,66.0,47.0,Postgraduate
CAR00024,Physiotherapist,Sports,Track 4,Cluster 24,50.0,58.0,79.0,41.0,15.0,35.0,15.0,88.0,69.0,21.0,85.0,39.0,20.0,37.0,49.0,50.0,69.0,30.0,26.0,78.0,71.0,Diploma
CAR00025,Pharmacist,Logistics & Supply Chain,Track 5,Cluster 25,64.0,58.0,95.0,62.0,72.0,29.0,47.0,30.0,83.0,22.0,77.0,84.0,31.0,24.0,56.0,44.0,31.0,86.0,91.0,75.0,57.0,Secondary
CAR00026,Dentist,Skilled Trades,Track 6,Cluster 26,16.0,43.0,26.0,31.0,32.0,63.0,59.0,33.0,72.0,89.0,68.0,76.0,50.0,68.0,16.0,,26.0,87.0,37.0,88.0,58.0,Secondary
CAR00027,Medical Laboratory Scientist,Research,Track 7,Cluster 27,56.0,18.0,38.0,51.0,33.0,76.0,21.0,39.0,69.0,42.0,25.0,76.0,63.0,33.0,42.0,57.0,57.0,32.0,62.0,15.0,94.0,Undergraduate
CAR00028,Microbiologist,Technology,Track 8,Cluster 28,68.0,56.0,,72.0,50.0,24.0,57.0,78.0,38.0,46.0,56.0,52.0,69.0,55.0,28.0,26.0,46.0,59.0,27.0,62.0,63.0,Undergraduate
CAR00029,Biotechnologist,Engineering,Track 9,Cluster 29,32.0,81.0,58.0,65.0,18.0,26.0,94.0,43.0,54.0,72.0,29.0,28.0,79.0,22.0,92.0,75.0,88.0,85.0,46.0,75.0,93.0,Postgraduate
CAR00030,Geneticist,Healthcare,Track 10,Cluster 30,74.0,33.0,93.0,30.0,47.0,30.0,58.0,89.0,20.0,19.0,86.0,44.0,19.0,84.0,44.0,26.0,55.0,43.0,95.0,37.0,38.0,Diploma
CAR00031,Agricultural Scientist,Life Sciences,Track 1,Cluster 1,62.0,62.0,84.0,45.0,87.0,22.0,58.0,94.0,86.0,51.0,,39.0,29.0,83.0,65.0,54.0,67.0,59.0,60.0,86.0,48.0,Secondary
CAR00032,Agronomist,Agriculture,Track 2,Cluster 2,38.0,79.0,67.0,65.0,48.0,43.0,59.0,22.0,27.0,92.0,47.0,91.0,60.0,63.0,21.0,56.0,85.0,49.0,69.0,63.0,16.0,Higher Secondary
CAR00033,Forestry Specialist,Environment,Track 3,Cluster 3,29.0,83.0,74.0,90.0,24.0,87.0,60.0,17.0,94.0,35.0,79.0,70.0,90.0,59.0,73.0,17.0,73.0,28.0,45.0,45.0,90.0,Higher Secondary
CAR00034,Environmental Scientist,Architecture & Construction,Track 4,Cluster 4,17.0,23.0,47.0,47.0,93.0,65.0,36.0,79.0,66.0,69.0,79.0,76.0,54.0,76.0,42.0,53.0,43.0,66.0,85.0,68.0,26.0,Diploma
CAR00035,Renewable Energy Engineer,Manufacturing,Track 5,Cluster 5,51.0,83.0,88.0,51.0,54.0,32.0,32.0,88.0,89.0,87.0,83.0,49.0,93.0,69.0,92.0,17.0,29.0,60.0,17.0,35.0,42.0,Higher Secondary
CAR00036,Energy Analyst,Energy,Track 6,Cluster 6,67.0,63.0,26.0,79.0,84.0,78.0,85.0,65.0,51.0,17.0,64.0,52.0,35.0,39.0,25.0,29.0,33.0,32.0,27.0,52.0,19.0,Undergraduate
CAR00037,Automotive Engineer,Transportation,Track 7,Cluster 7,68.0,70.0,33.0,33.0,32.0,47.0,50.0,30.0,78.0,72.0,20.0,83.0,90.0,58.0,68.0,45.0,18.0,30.0,69.0,35.0,69.0,Diploma
CAR00038,Aviation Engineer,Aviation,Track 8,Cluster 8,54.0,82.0,93.0,93.0,48.0,86.0,81.0,17.0,67.0,36.0,16.0,71.0,89.0,62.0,72.0,86.0,49.0,65.0,43.0,28.0,63.0,Secondary
CAR00039,Pilot,Marine,Track 9 ,Cluster 9,22.0,23.0,68.0,88.0,29.0,19.0,64.0,20.0,49.0,23.0,89.0,30.0,17.0,25.0,63.0,23.0,84.0,23.0,55.0,72.0,46.0,Diploma
CAR00040,Marine Engineer,Business,Track 10,Cluster 10,91.0,82.0,60.0,33.0,72.0,26.0,92.0,33.0,23.0,95.0,70.0,26.0,17.0,59.0,38.0,46.0,54.0,25.0,22.0,64.0,80.0,Undergraduate
CAR00041,Oceanographer,Finance,Track 1,Cluster 11,88.0,42.0,75.0,85.0,56.0,19.0,87.0,87.0,55.0,68.0,40.0,27.0,60.0,51.0,74.0,21.0,15.0,19.0,79.0,65.0,33.0,Secondary
CAR00042,Accountant,Law,Track 2, Cluster 12 ,31.0,19.0,16.0,66.0,59.0,52.0,26.0,21.0,70.0,35.0,44.0,71.0,94.0,61.0,85.0,17.0,15.0,93.0,26.0,19.0,19.0,Undergraduate
CAR00043,Financial Analyst,Education,Track 3,Cluster 13,28.0,50.0,41.0,64.0,83.0,84.0,88.0,71.0,44.0,23.0,73.0,76.0,95.0,87.0,78.0,95.0,65.0,39.0,41.0,23.0,80.0,Postgraduate
CAR00044,Auditor,Psychology & Social Services,Track 4,Cluster 14,94.0,16.0,47.0,21.0,42.0,26.0,30.0,29.0,81.0,82.0,75.0,77.0,15.0,89.0,39.0,39.0,38.0,46.0,38.0,61.0,89.0,Postgraduate
CAR00045,Investment Analyst,Government & Public Service, Track 5 ,Cluster 15,44.0,51.0,,59.0,64.0,79.0,,79.0,86.0,73.0,86.0,53.0,46.0,80.0,66.0,72.0,46.0,22.0,15.0,29.0,56.0,Undergraduate
CAR00046,Economist,Defence & Security,Track 6,Cluster 16,65.0,95.0,31.0,24.0,54.0,43.0,30.0,64.0,31.0,63.0,49.0,41.0,48.0,89.0,23.0,91.0,26.0,61.0,37.0,84.0,43.0,Postgraduate
CAR00047,Entrepreneur,Media & Communication,Track 7,Cluster 17,62.0,37.0,56.0,16.0,36.0,34.0,40.0,33.0,59.0,65.0,25.0,92.0,21.0,45.0,62.0,40.0,45.0,33.0,30.0,29.0,57.0,Secondary
CAR00048,Marketing Specialist,Arts & Design,Track 8,Cluster 18,89.0,74.0,51.0,23.0,75.0,45.0,16.0,45.0,85.0,22.0,74.0,51.0,60.0,24.0,93.0,51.0,63.0,78.0,65.0,18.0,82.0,Diploma
CAR00049,Human Resources Specialist,Fashion,Track 9,Cluster 19,59.0,40.0,86.0,68.0,38.0,19.0,19.0,31.0,87.0,89.0,17.0,81.0,50.0,95.0,58.0,28.0,50.0,82.0,42.0,54.0,66.0,Postgraduate
CAR00050,Lawyer,Hospitality & Tourism,Track 10,Cluster 20,57.0,87.0,58.0,75.0,25.0,62.0,19.0,16.0,49.0,24.0,94.0,71.0,65.0,68.0,37.0,21.0,66.0,83.0,81.0,91.0,23.0,Undergraduate
CAR00051,Legal Advisor,Sports,Track 1,Cluster 21,52.0,76.0,60.0,53.0,16.0,82.0,40.0,75.0,15.0,72.0,42.0,58.0,44.0,69.0,17.0,40.0,75.0,34.0,58.0,76.0,76.0,Undergraduate
CAR00052,Teacher,Logistics & Supply Chain,Track 2,Cluster 22,,49.0,64.0,89.0,85.0,21.0,67.0,29.0,29.0,91.0,25.0,65.0,40.0,80.0,32.0,67.0,26.0,82.0,93.0,86.0,65.0,Higher Secondary
CAR00053,Education Consultant, Skilled Trades ,Track 3,Cluster 23,23.0,49.0,55.0,57.0,86.0,46.0,73.0,44.0,37.0,39.0,83.0,40.0,56.0,49.0,37.0,57.0,,18.0,49.0,44.0,79.0,Undergraduate
CAR00054,Psychologist,Research,Track 4,Cluster 24,91.0,55.0,66.0,72.0,71.0,81.0,41.0,,64.0,,32.0,26.0,68.0,24.0,47.0,61.0,95.0,70.0,51.0,37.0,15.0,Professional Degree
CAR00055,Counsellor,Technology,Track 5,Cluster 25,51.0,62.0,64.0,41.0,81.0,50.0,28.0,87.0,58.0,84.0,90.0,23.0,37.0,20.0,46.0,57.0,17.0,15.0,44.0,69.0,30.0,Professional Degree
CAR00056,Social Worker,Engineering,Track 6,Cluster 26,30.0,36.0,28.0,27.0,30.0,45.0,89.0,44.0,73.0,91.0,27.0,78.0,20.0,89.0,74.0,63.0,83.0,82.0,67.0,26.0,94.0,Secondary
CAR00057,Civil Services Officer,Healthcare,Track 7,Cluster 27,87.0,27.0,53.0,95.0,47.0,94.0,53.0,77.0,75.0,32.0,95.0,67.0,52.0,33.0,64.0,19.0,52.0,40.0,62.0,53.0,54.0,Undergraduate
CAR00058,Policy Analyst,Life Sciences,Track 8,Cluster 28,70.0,22.0,82.0,,17.0,53.0,22.0,53.0,33.0,57.0,81.0,90.0,42.0,68.0,30.0,72.0,49.0,71.0,63.0,62.0,74.0,Undergraduate
CAR00059,Defence Officer,Agriculture,Track 9,Cluster 29,43.0,41.0,50.0,89.0,30.0,32.0,93.0,95.0,26.0,30.0,66.0,27.0,41.0,22.0,16.0,76.0,82.0,50.0,65.0,86.0,32.0,Undergraduate
CAR00060,Journalist,Environment,Track 10,Cluster 30,40.0,79.0,25.0,68.0,44.0,,69.0,16.0,60.0,44.0,84.0,95.0,84.0,20.0,80.0,18.0,90.0,35.0,93.0,67.0,25.0,Higher Secondary
CAR00061,Public Relations Specialist,Architecture & Construction,Track 1,Cluster 1,30.0,62.0,59.0,35.0,93.0,22.0,87.0,60.0,92.0,91.0,65.0,21.0,30.0,67.0,26.0,49.0,57.0,56.0,93.0,21.0,36.0,Undergraduate
CAR00062,Content Creator,Manufacturing ,Track 2,Cluster 2,59.0,59.0,81.0,54.0,93.0,76.0,93.0,81.0,23.0,67.0,76.0,41.0,42.0,55.0,63.0,83.0,89.0,48.0,83.0,49.0,27.0,Secondary
CAR00063,Graphic Designer,Energy,Track 3,Cluster 3,88.0,48.0,83.0,78.0,76.0,54.0,72.0,44.0,82.0,34.0,94.0,15.0,53.0,47.0,50.0,62.0,62.0,,87.0,63.0,24.0,Undergraduate
CAR00064,UI UX Designer,Transportation,Track 4,Cluster 4,81.0,91.0,49.0,68.0,67.0,76.0,17.0,50.0,17.0,78.0,37.0,30.0,83.0,32.0,35.0,21.0,46.0,60.0,89.0,46.0,83.0,Higher Secondary
CAR00065,Product Designer,Aviation,Track 5,Cluster 5,38.0,43.0,88.0,78.0,85.0,88.0,83.0,36.0,40.0,21.0,53.0,64.0,71.0,31.0,46.0,15.0,22.0,68.0,63.0,65.0,65.0,Professional Degree
CAR00066,Fashion Designer,Marine,Track 6,Cluster 6,49.0,54.0,85.0,49.0,65.0,41.0,57.0,40.0,78.0,33.0,72.0,76.0,57.0,43.0,29.0,47.0,31.0,62.0,28.0,80.0,25.0,Postgraduate
CAR00067,Illustrator,Business,Track 7,Cluster 7,73.0,91.0,35.0,61.0,38.0,83.0,73.0,15.0,88.0,28.0,92.0,65.0,43.0,30.0,80.0,,70.0,52.0,95.0,39.0,73.0,Professional Degree
CAR00068,Animator,Finance,Track 8,Cluster 8,56.0,59.0,44.0,58.0,29.0,83.0,54.0,81.0,33.0,46.0,75.0,42.0,55.0,85.0,44.0,27.0,56.0,59.0,49.0,79.0,27.0,Undergraduate
CAR00069,Chef,Law,Track 9,Cluster 9,82.0,25.0,47.0,28.0,24.0,21.0,55.0,49.0,22.0,74.0,63.0,46.0,77.0,64.0,20.0,48.0,89.0,93.0,78.0,90.0,64.0,Undergraduate
CAR00070,Hotel Manager,Education,Track 10, Cluster 10 ,61.0,82.0,79.0,75.0,16.0,60.0,61.0,75.0,35.0,63.0,26.0,87.0,70.0,41.0,23.0,62.0,77.0,61.0,32.0,63.0,84.0,Postgraduate
CAR00071,Travel Consultant,Psychology & Social Services,Track 1,Cluster 11,65.0,77.0,30.0,17.0,38.0,88.0,54.0,31.0,24.0,48.0,41.0,21.0,59.0,87.0,27.0,95.0,80.0,89.0,37.0,42.0,15.0,Postgraduate
CAR00072,Sports Coach,Government & Public Service,Track 2,Cluster 12,60.0,39.0,15.0,33.0,78.0,85.0,93.0,58.0,94.0,53.0,58.0,80.0,78.0,64.0,74.0,95.0,79.0,53.0,82.0,43.0,55.0,Diploma
CAR00073,Sports Scientist,Defence & Security,Track 3,Cluster 13,37.0,17.0,72.0,31.0,52.0,61.0,72.0,83.0,27.0,55.0,55.0,19.0,81.0,31.0,18.0,64.0,42.0,29.0,16.0,91.0,51.0,Undergraduate
CAR00074,Supply Chain Analyst,Media & Communication,Track 4,Cluster 14,64.0,70.0,26.0,94.0,57.0,16.0,54.0,82.0,27.0,65.0,31.0,95.0,30.0,33.0,41.0,69.0,49.0,15.0,19.0,20.0,45.0,Higher Secondary
CAR00075,Logistics Manager,Arts & Design,Track 5,Cluster 15,39.0,54.0,71.0,43.0,48.0,33.0,91.0,65.0,69.0,60.0,69.0,56.0,42.0,45.0,31.0,64.0,39.0,71.0,87.0,68.0,33.0,Undergraduate
CAR00076,Electrician,Fashion,Track 6,Cluster 16,48.0,76.0,28.0,69.0,30.0,88.0,70.0,75.0,30.0,16.0,79.0,57.0,64.0,61.0,61.0,32.0,81.0,76.0,28.0,43.0,19.0,Diploma
CAR00077,Welder,Hospitality & Tourism,Track 7,Cluster 17,34.0,40.0,67.0,83.0,49.0,67.0,46.0,41.0,31.0,70.0,93.0,41.0,79.0,74.0,34.0,50.0,23.0,66.0,15.0,58.0,52.0,Secondary
CAR00078,Technician,Sports,Track 8,Cluster 18,80.0,25.0,64.0,40.0,86.0,61.0,56.0,61.0,35.0,78.0,24.0,23.0,62.0,66.0,39.0,67.0,27.0,40.0,44.0,91.0,53.0,Postgraduate
CAR00079,Research Scientist,Logistics & Supply Chain,Track 9,Cluster 19,31.0,17.0,88.0,18.0,42.0,48.0,90.0,79.0,55.0,28.0,71.0,19.0,93.0,90.0,79.0,72.0,35.0,72.0,50.0,61.0,61.0,Postgraduate
CAR00080,Software Developer Specialist 80,Skilled Trades,Track 10,Cluster 20,33.0,39.0,36.0,68.0,71.0,86.0,40.0,79.0,77.0,28.0,42.0,19.0,87.0,77.0,45.0,84.0,16.0,74.0,51.0,82.0,20.0,Higher Secondary
CAR00081,Data Scientist Specialist 81,Research,Track 1,Cluster 21,36.0,41.0,74.0,72.0,22.0,38.0,89.0,52.0,29.0,78.0,84.0,84.0,89.0,20.0,,22.0,93.0,24.0,23.0,85.0,20.0,Undergraduate
CAR00082,AI Engineer Specialist 82,Technology,Track 2,Cluster 22,27.0,59.0,25.0,32.0,66.0,74.0,82.0,63.0,35.0,31.0,91.0,25.0,95.0,83.0,64.0,34.0,85.0,19.0,88.0,88.0,50.0,Secondary
CAR00083,Machine Learning Engineer Specialist 83,Engineering,Track 3,Cluster 23,31.0,19.0,24.0,73.0,34.0,35.0,38.0,67.0,58.0,49.0,84.0,29.0,43.0,91.0,53.0,26.0,65.0,35.0,93.0,41.0,73.0,Undergraduate
CAR00084,Cybersecurity Analyst Specialist 84,Healthcare,Track 4,Cluster 24,49.0,73.0,45.0,64.0,64.0,91.0,56.0,43.0,74.0,83.0,32.0,48.0,41.0,88.0,65.0,72.0,61.0,63.0,90.0,15.0,38.0,Postgraduate
CAR00085,Cloud Engineer Specialist 85,Life Sciences,Track 5,Cluster 25,62.0,30.0,57.0,18.0,59.0,34.0,18.0,41.0,16.0,71.0,81.0,83.0,71.0,89.0,25.0,90.0,86.0,71.0,40.0,30.0,93.0,Undergraduate
CAR00086,Database Administrator Specialist 86,Agriculture,Track 6,Cluster 26,78.0,86.0,55.0,71.0,44.0,81.0,37.0,69.0,59.0,71.0,95.0,75.0,37.0,29.0,83.0,89.0,95.0,19.0,67.0,69.0,68.0,Secondary
CAR00087,Web Developer Specialist 87,Environment,Track 7,Cluster 27,66.0,95.0,95.0,61.0,74.0,75.0,45.0,56.0,43.0,67.0,28.0,37.0,85.0,18.0,81.0,17.0,29.0,93.0,58.0,53.0,47.0,Professional Degree
CAR00088,Mobile App Developer Specialist 88,Architecture & Construction,Track 8,Cluster 28,52.0,27.0,34.0,77.0,64.0,20.0,32.0,46.0,64.0,54.0,31.0,16.0,68.0,34.0,36.0,16.0,83.0,21.0,82.0,47.0,,Secondary
CAR00089,Network Engineer Specialist 89,Manufacturing,Track 9,Cluster 29,28.0,83.0,48.0,90.0,64.0,16.0,95.0,43.0,40.0,63.0,79.0,18.0,76.0,29.0,39.0,79.0,95.0,39.0,22.0,51.0,70.0,Undergraduate
CAR00090,Data Analyst Specialist 90,Energy,Track 10,Cluster 30,89.0,51.0,79.0,29.0,52.0,84.0,27.0,20.0,90.0,37.0,31.0,78.0,62.0,81.0,58.0,16.0,16.0,52.0,32.0,55.0,51.0,Professional Degree
CAR00091,Business Analyst Specialist 91,Transportation,Track 1,Cluster 1,54.0,47.0,22.0,41.0,46.0,89.0,86.0,49.0,67.0,55.0,61.0,79.0,62.0,25.0,27.0,50.0,95.0,33.0,85.0,52.0,42.0,Higher Secondary
CAR00092,Civil Engineer Specialist 92, Aviation ,Track 2,Cluster 2,62.0,62.0,58.0,28.0,48.0,49.0,76.0,95.0,15.0,95.0,46.0,68.0,90.0,51.0,89.0,66.0,34.0,47.0,46.0,89.0,26.0,Professional Degree
CAR00093,Mechanical Engineer Specialist 93,Marine,Track 3,Cluster 3,63.0,68.0,34.0,36.0,70.0,84.0,29.0,41.0,21.0,92.0,92.0,49.0,20.0,42.0,84.0,77.0,89.0,39.0,47.0,42.0,19.0,Postgraduate
CAR00094,Electrical Engineer Specialist 94,Business,Track 4,Cluster 4,31.0,54.0,67.0,92.0,53.0,26.0,69.0,68.0,92.0,58.0,37.0,25.0,30.0,91.0,41.0,65.0,20.0,50.0,86.0,61.0,78.0,Diploma
CAR00095,Electronics Engineer Specialist 95,Finance,Track 5,Cluster 5,45.0,49.0,19.0,63.0,74.0,47.0,28.0,33.0,75.0,29.0,71.0,85.0,46.0,24.0,83.0,27.0,62.0,61.0,91.0,21.0,16.0,Higher Secondary
CAR00096,Chemical Engineer Specialist 96,Law,Track 6,Cluster 6,48.0,,41.0,71.0,28.0,63.0,32.0,50.0,37.0,20.0,19.0,19.0,24.0,36.0,23.0,68.0,85.0,27.0,79.0,72.0,71.0,Higher Secondary
CAR00097,Biomedical Engineer Specialist 97,Education,Track 7,Cluster 7,87.0,43.0,26.0,28.0,70.0,20.0,48.0,48.0,19.0,84.0,92.0,83.0,21.0,37.0,50.0,65.0,77.0,40.0,21.0,48.0,26.0,Undergraduate
CAR00098,Environmental Engineer Specialist 98,Psychology & Social Services,Track 8,Cluster 8,36.0,51.0,55.0,84.0,86.0,34.0,22.0,75.0,43.0,37.0,41.0,19.0,55.0,66.0,77.0,87.0,18.0,26.0,70.0,69.0,64.0,Postgraduate
CAR00099,Architect Specialist 99,Government & Public Service,Track 9,Cluster 9,18.0,35.0,22.0,95.0,71.0,78.0,93.0,38.0,91.0,50.0,23.0,68.0,27.0,52.0,27.0,77.0,90.0,18.0,59.0,87.0,53.0,Secondary
CAR00100,Urban Planner Specialist 100,Defence & Security,Track 10,Cluster 10,59.0,41.0,31.0,69.0,26.0,28.0,71.0,39.0,38.0,83.0,81.0,19.0,16.0,57.0,64.0,95.0,68.0,65.0,70.0,89.0,17.0,Diploma
CAR00101,Doctor Specialist 101,Media & Communication,Track 1,Cluster 11,95.0,46.0,71.0,83.0,94.0,50.0,34.0,15.0,75.0,51.0,95.0,23.0,86.0,60.0,54.0,16.0,85.0,20.0,59.0,45.0,34.0,Professional Degree
CAR00102,Nurse Specialist 102,Arts & Design,Track 2,Cluster 12,62.0,60.0,,93.0,74.0,20.0,57.0,36.0,80.0,31.0,64.0,25.0,51.0,78.0,71.0,61.0,50.0,28.0,44.0,95.0,86.0,Professional Degree
CAR00103, Physiotherapist Specialist 103 ,Fashion,Track 3,Cluster 13,43.0,43.0,81.0,37.0,24.0,86.0,24.0,52.0,15.0,66.0,72.0,29.0,76.0,78.0,83.0,34.0,51.0,69.0,55.0,66.0,37.0,Higher Secondary
CAR00104,Pharmacist Specialist 104,Hospitality & Tourism,Track 4,Cluster 14,42.0,85.0,84.0,38.0,54.0,37.0,41.0,35.0,67.0,78.0,51.0,80.0,91.0,61.0,22.0,58.0,33.0,82.0,36.0,88.0,73.0,Postgraduate
CAR00105,Dentist Specialist 105,Sports,Track 5,Cluster 15,46.0,45.0,63.0,70.0,69.0,75.0,44.0,51.0,84.0,18.0,92.0,62.0,63.0,40.0,24.0,70.0,82.0,84.0,66.0,29.0,93.0,Postgraduate
CAR00106, Medical Laboratory Scientist Specialist 106 ,Logistics & Supply Chain,Track 6,Cluster 16,,56.0,51.0,36.0,73.0,88.0,49.0,60.0,38.0,44.0,74.0,91.0,74.0,26.0,93.0,81.0,70.0,59.0,89.0,65.0,34.0,Postgraduate
CAR00107,Microbiologist Specialist 107,Skilled Trades,Track 7,Cluster 17,22.0,56.0,83.0,85.0,63.0,27.0,94.0,28.0,76.0,67.0,49.0,84.0,54.0,61.0,62.0,24.0,16.0,74.0,74.0,64.0,69.0,Undergraduate
CAR00108,Biotechnologist Specialist 108,Research,Track 8,Cluster 18,51.0,67.0,75.0,33.0,94.0,60.0,78.0,48.0,48.0,38.0,37.0,58.0,21.0,83.0,52.0,41.0,27.0,42.0,40.0,34.0,87.0,Professional Degree
CAR00109,Geneticist Specialist 109,Technology,Track 9,Cluster 19,15.0,68.0,67.0,66.0,21.0,94.0,47.0,71.0,16.0,46.0,37.0,84.0,37.0,69.0,18.0,31.0,50.0,80.0,92.0,50.0,93.0,Undergraduate
CAR00110,Agricultural Scientist Specialist 110,Engineering,Track 10,Cluster 20,93.0,83.0,67.0,80.0,94.0,48.0,56.0,,62.0,61.0,82.0,45.0,79.0,94.0,20.0,26.0,90.0,20.0,79.0,94.0,84.0,Undergraduate
